# as_of: 2026-09-20
# note: Through Week 3 of the 2026 season. Poll published Sept. 20, 2026.
week,team,rank
0,Ohio State,1
0,Oregon,2
0,Georgia,3
0,Notre Dame,4
0,Texas,5
0,Indiana,6
0,Miami,7
0,Texas A&M,8
0,Ole Miss,9
0,Oklahoma,10
0,LSU,11
0,Texas Tech,12
0,Alabama,13
0,BYU,14
0,USC,14
0,Michigan,16
0,Washington,17
0,Penn State,18
0,SMU,19
0,Tennessee,20
0,Utah,21
0,Iowa,22
0,Houston,23
0,Louisville,24
0,Missouri,25
2,Texas,1
2,Georgia,2
2,Notre Dame,3
2,Indiana,4
2,Miami,5
2,Ohio State,6
2,LSU,7
2,Ole Miss,8
2,Texas A&M,9
2,Alabama,10
2,BYU,11
2,USC,12
2,Texas Tech,13
2,Penn State,14
2,Tennessee,15
2,SMU,16
2,Utah,17
2,Iowa,18
2,Michigan,19
2,Missouri,20
2,Oregon,21
2,Houston,22
2,Louisville,23
2,Oklahoma,24
2,Virginia,25
3,Texas,1
3,Georgia,2
3,Notre Dame,3
3,Ole Miss,4
3,Indiana,5
3,Miami,6
3,Ohio State,7
3,Alabama,8
3,BYU,9
3,LSU,10
3,Texas Tech,11
3,USC,12
3,Penn State,13
3,Tennessee,14
3,Utah,15
3,Louisville,16
3,Iowa,17
3,Michigan,18
3,Missouri,19
3,Oregon,20
3,Florida,21
3,SMU,22
3,Texas A&M,23
3,Mississippi State,24
3,Houston,25
