team,conference,budget_min_m,budget_max_m,budget_mid_m,wins_2025,losses_2025,conf_wins_2025,conf_losses_2025,wins_2026,losses_2026,dollars_per_win_2025_mid_m,dollars_per_win_2026_mid_m,expected_wins_2025,wins_above_expected_2025,notes,cfbd_team,recruit_rank_2022,recruit_points_2022,recruit_rank_2023,recruit_points_2023,recruit_rank_2024,recruit_points_2024,recruit_rank_2025,recruit_points_2025,recruit_rank_2026,recruit_points_2026,recruit_rank_avg_2022_2025,recruit_points_avg_2022_2025,sp_rating_2025,sp_rank_2025,sp_offense_2025,sp_defense_2025,sp_rating_2026,sp_rank_2026,sp_offense_2026,sp_defense_2026,fpi_2025,fpi_rank_2025,fpi_2026,fpi_rank_2026,draft_picks_2024,draft_r1_2024,draft_picks_2025,draft_r1_2025,draft_picks_2026,draft_r1_2026,wins_per_recruit_point_2025,recruit_points_per_win_2025,budget_per_recruit_point_m,kn_institution,kn_url,kn_has_mfrs,kn_fy,kn_total_rev,kn_total_rev_m,kn_total_exp,kn_total_exp_m,kn_ticket_sales,kn_ticket_sales_m,kn_donations,kn_donations_m,kn_media_conference,kn_media_conference_m,kn_corp_sponsorship,kn_corp_sponsorship_m,kn_institutional_support,kn_institutional_support_m,kn_student_fees,kn_student_fees_m,kn_football_spending,kn_football_spending_m,kn_coaches_comp,kn_coaches_comp_m,kn_athlete_scholarships,kn_athlete_scholarships_m,kn_nil_rev_share_line44,kn_nil_rev_share_line44_m,kn_recruiting_exp,kn_recruiting_exp_m,kn_roster_budget_mid_m,kn_roster_as_pct_of_football_spend,kn_roster_as_pct_of_total_rev,portal_2025_transfers_in,portal_2025_avg_rating,portal_2025_star_points,portal_2025_stars_4,portal_2025_stars_5,portal_2025_rank_star_points,portal_2025_rank_avg_rating,portal_2025_rank_volume,portal_2026_transfers_in,portal_2026_avg_rating,portal_2026_star_points,portal_2026_stars_4,portal_2026_stars_5,portal_2026_rank_star_points,portal_2026_rank_avg_rating,portal_2026_rank_volume,portal_2025_rank_in_p4,portal_2026_rank_in_p4,portal_vs_hs_rank_gap_2025,on3_portal_rank_2026,on3_index_2026,on3_transfers_in_2026,on3_avg_rating_in_2026,on3_transfers_out_2026,on3_stars_4_2026,on3_stars_5_2026,247_portal_rank_2026,247_portal_points_2026,247_transfers_in_2026
Ohio State,Big Ten,49.0,54.0,51.5,12,2,9,0,1,1,4.2917,51.5,11.137,0.863,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $51.5M,Ohio State,4,300.95,5,288.98,5,289.13,4,297.72,4,301.23,4.5,294.19,30.1,2,37.6,7.7,29.2,2,39.5,10.3,27.617,2,30.42,1,4,1,14,4,11,4,0.04031,24.81,0.173,The Ohio State University,https://knightnewhousedata.org/fbs/big-ten/ohio-state-university,true,2025,336077887,336.078,320661665,320.662,81650892,81.651,68955032,68.955,97839402,97.839,42770263,42.770,112280,0.112,0,0.000,92359308,92.359,59837678,59.838,36804912,36.805,0,0.000,4110006,4.110,51.5,55.76,15.32,11,0.8856,31,4,0,122,5,130,17,0.8869,54,6,0,76,7,91,60,44,-56.0,58,-17,17,70.41,32,3,0,7,50.26,17
Oregon,Big Ten,48.0,54.0,51.0,13,2,8,1,1,1,3.9231,51.0,11.061,1.939,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $51.0M,Oregon,13,243.37,9,278.44,3,293.22,5,296.1,3,303.22,7.5,277.78,25.9,4,38.7,13.5,22.9,9,38.6,16,23.872,4,17.062,13,8,1,10,2,7,2,0.0439,22.78,0.1722,University of Oregon,https://knightnewhousedata.org/fbs/big-ten/university-oregon,true,2025,185420904,185.421,182702378,182.702,34920016,34.920,33164614,33.165,69211336,69.211,26607027,26.607,589167,0.589,0,0.000,60847474,60.847,44190509,44.191,22461556,22.462,0,0.000,3482608,3.483,51.0,83.82,27.50,11,0.903,40,8,0,110,1,126,13,0.885,39,3,0,114,8,119,54,59,-49.0,36,5,16,73.06,30,5,0,21,37.91,15
Texas,SEC,45.0,55.0,50.0,10,3,6,2,2,0,5.0,25.0,10.908,-0.908,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $50.0M,Texas,5,289.04,3,306.31,6,286.92,1,312.27,7,291.18,3.75,298.63,16.2,17,32.9,17.9,25,6,38.7,14.2,18.576,11,30.109,2,11,2,12,3,6,0,0.03202,31.23,0.1601,University of Texas at Austin,https://knightnewhousedata.org/fbs/sec/university-texas-austin,true,2025,352547602,352.548,379284528,379.285,70984006,70.984,171165773,171.166,33603713,33.604,51956322,51.956,0,0.000,0,0.000,73881569,73.882,57050284,57.050,22614579,22.615,3235078,3.235,5785192,5.785,50.0,67.68,14.18,11,0.88,33,3,0,119,8,129,22,0.8879,70,7,1,45,4,57,58,29,-57.0,9,30,22,74.64,23,5,1,3,60.14,22
LSU,SEC,47.0,50.0,48.5,7,6,3,5,2,0,6.9286,24.25,10.679,-3.679,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $48.5M,LSU,12,245.76,6,288.7,7,278.75,10,281.53,11,272.69,8.75,273.69,10.3,32,25.8,16.1,24.1,8,34.8,10.9,10.712,25,22.594,9,6,3,7,1,7,1,0.02486,40.22,0.1723,Louisiana State University,https://knightnewhousedata.org/fbs/sec/louisiana-state-university,true,2025,223457267,223.457,223429203,223.429,53627722,53.628,68683969,68.684,75445962,75.446,5056844,5.057,0,0.000,0,0.000,50738588,50.739,46785903,46.786,22921939,22.922,0,0.000,5263296,5.263,48.5,95.59,21.70,18,0.8994,65,11,0,52,2,82,44,0.8878,147,15,3,3,5,6,27,2,-17.0,2,46,43,72.93,34,10,2,1,81.58,44
Texas A&M,SEC,45.0,50.0,47.5,11,2,7,1,2,0,4.3182,23.75,10.526,0.474,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $47.5M,Texas A&M,1,333.13,15,268.85,19,245.18,9,282.42,10,283.13,11,282.39,20.7,9,38,16.4,24.2,7,39.3,14.9,18.374,12,23.071,8,4,0,3,1,10,1,0.03895,25.67,0.1682,Texas A & M University,https://knightnewhousedata.org/fbs/sec/texas-m-university,true,2025,235547242,235.547,228350501,228.351,64340883,64.341,50063114,50.063,65694643,65.695,30337025,30.337,4995734,4.996,0,0.000,60230147,60.230,38240141,38.240,21127555,21.128,0,0.000,4898792,4.899,47.5,78.86,20.17,13,0.8831,44,5,0,100,7,112,19,0.8794,58,4,0,64,11,77,51,37,-42.0,3,45,19,75.58,13,6,0,12,44.10,19
Miami,ACC,44.0,50.0,47.0,13,3,6,2,2,0,3.6154,23.5,10.45,2.55,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $47.0M,Miami,16,235.03,7,284.64,4,291.54,13,257.66,9,284.61,10,267.22,20.7,9,34.2,14.3,25.6,4,37.2,11.9,22.396,5,25.741,5,4,0,7,1,9,3,0.05045,19.82,0.1824,University of Miami (Florida),https://knightnewhousedata.org/fbs/acc/university-miami-florida,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,18,0.8929,59,8,0,65,3,83,12,0.8967,43,7,0,103,2,124,33,56,-20.0,12,26,13,74.92,19,5,0,5,52.14,13
Notre Dame,Independent,41.0,48.0,44.5,10,2,,,2,0,4.45,22.25,10.068,-0.068,Independent: no conference W-L; 2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $44.5M,Notre Dame,7,275.44,12,272.74,9,275.57,12,270.22,5,299.28,10,273.49,24.4,5,40,16.3,29,3,41.7,13,25.279,3,27.901,3,7,1,6,0,6,2,0.03701,27.02,0.1647,University of Notre Dame,https://knightnewhousedata.org/fbs/ind/university-notre-dame,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,8,0.87,22,1,0,145,20,150,7,0.9271,28,7,0,133,1,139,66,66,-54.0,8,32,7,88.00,16,4,0,11,44.53,7
Tennessee,SEC,41.0,43.0,42.0,8,5,4,4,2,0,5.25,21.0,9.685,-1.685,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $42.0M,Tennessee,18,232.77,10,277,14,267.26,11,277.93,8,290.71,13.25,263.74,15,19,39.3,25.4,20.2,11,40.9,21.1,14.31,19,17.866,11,3,0,4,1,5,0,0.02878,34.74,0.1511,The University of Tennessee,https://knightnewhousedata.org/fbs/sec/university-tennessee,true,2025,304117549,304.118,288186290,288.186,52163720,52.164,113589853,113.590,66036392,66.036,33004839,33.005,7137633,7.138,1000000,1.000,74017787,74.018,45631967,45.632,32164244,32.164,0,0.000,7699885,7.700,42.0,56.74,13.81,7,0.8657,22,1,0,149,27,163,21,0.8695,60,1,1,59,22,63,67,35,-56.0,45,-2,22,70.00,23,2,0,26,34.23,21
Ole Miss,SEC,39.0,45.0,42.0,13,2,7,1,2,0,3.2308,21.0,9.685,3.315,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $42.0M,Ole Miss,23,222.38,23,227.96,21,240.2,16,251.63,22,236.72,20.75,235.54,24,7,40.4,18.3,15.2,20,35.4,20.8,19.342,9,15.47,17,3,0,8,2,2,0,0.05166,19.36,0.1669,University of Mississippi,https://knightnewhousedata.org/fbs/sec/university-mississippi,true,2025,178621017,178.621,183768038,183.768,26582195,26.582,49849610,49.850,72796009,72.796,12457220,12.457,5734050,5.734,0,0.000,61881227,61.881,39891719,39.892,17701731,17.702,0,0.000,3295395,3.295,42.0,67.87,23.51,28,0.8768,92,8,0,21,13,36,28,0.8839,94,10,0,22,9,35,11,14,5.0,29,10,30,73.33,23,3,0,2,60.76,29
Alabama,SEC,38.0,42.0,40.0,11,4,7,1,2,0,3.6364,20.0,9.38,1.62,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $40.0M,Alabama,2,322.25,1,328,2,310.75,3,298.4,2,303.79,2,314.85,14.8,20,32.2,16.1,21.2,10,33.5,11.9,19.012,10,23.24,7,10,3,7,2,10,2,0.03686,27.13,0.134,University of Alabama,https://knightnewhousedata.org/fbs/sec/university-alabama,true,2025,267435520,267.436,234739406,234.739,49107903,49.108,67428250,67.428,80066615,80.067,17233822,17.234,29988389,29.988,0,0.000,82859480,82.859,44103588,44.104,27387926,27.388,0,0.000,6162081,6.162,40.0,48.27,14.96,11,0.8791,37,4,0,112,10,127,17,0.8812,56,5,0,71,10,90,56,42,-53.0,33,6,19,70.84,23,1,0,18,40.53,20
